Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
ABCF2	15	15	108345.0		196256.0	99392.8	82753.4	73149.9	117943.0				102443.0				130327.0				115397.0	129374.0	123302.0	165410.0	131880.0	134647.0	117756.0	152433.0	152716.0	139186.0	121743.0	113174.0	157435.0	90128.4	81792.0		65443.6	123611.0	131549.0	127920.0	120720.0	123938.0	133973.0	121885.0	108496.0	133077.0	127418.0	83819.5	92865.5	107530.0	100685.0	93064.9	150259.0			161138.0	93941.0	121412.0	83017.6	86958.2	101209.0	98544.4	107868.0	193531.0	86159.5	88411.7	123178.0	102053.0	81860.8	92025.1	86688.8	109631.0	88825.2	68955.2	107178.0	110359.0	106717.0	97231.0	98627.4	127859.0	145815.0	101594.0	74350.1	105085.0	85999.5	93438.9	114151.0	121898.0	143485.0	104682.0	117136.0	135801.0	100109.0	102781.0	91131.2	102197.0	94481.4
ABCF3	22	22	154561.0		175464.0	132829.0	118562.0	110904.0	116608.0				147924.0				121962.0				132060.0	118486.0	118739.0	165324.0	161748.0	141152.0	130199.0	131431.0	168987.0	133688.0	111338.0	146411.0	138660.0	127506.0	111078.0		122448.0	133714.0	150044.0	147290.0	134683.0	156179.0	198908.0	157228.0	93215.0	162042.0	121317.0	130984.0	220755.0	271615.0	229785.0	224372.0	226566.0	167978.0		226886.0	261927.0	237037.0	175365.0	265349.0	171375.0	207621.0	292052.0	211903.0	240551.0	215548.0	254219.0	239015.0	205859.0	187737.0	202843.0	207442.0	217583.0	176208.0	186782.0	183558.0	227860.0	279330.0	222804.0	187773.0	225079.0	208660.0	134950.0	120704.0	111828.0	119983.0	194734.0	149442.0	188803.0	168211.0	138159.0	160117.0	199460.0	182486.0	155615.0	174211.0	238042.0
ABHD10	6	6	181467.0	356343.0	247872.0	161205.0	183762.0	164404.0	192366.0				252124.0				159454.0		151437.0		267577.0	186449.0	236693.0	191585.0	282063.0	190536.0	124641.0	128401.0	180598.0	160856.0	251932.0	139976.0	170791.0	153857.0	181878.0	291702.0	330087.0	212137.0	225035.0	277048.0	282422.0	370831.0	151177.0	219332.0	344750.0	220620.0	389458.0	310576.0	160603.0	206802.0	206014.0	148359.0	194511.0	230957.0		97025.7	195180.0	176310.0	176322.0	161873.0	185575.0	224986.0	173457.0	114143.0	184345.0	179792.0	167017.0	184837.0	141597.0	156473.0	102289.0	196312.0	160206.0		176676.0	174115.0	130199.0	168571.0	151282.0	132240.0	181865.0	152955.0	154348.0	194404.0	163022.0	194259.0	168182.0	206905.0	168083.0	166068.0	136338.0	175047.0	146445.0	192685.0	188728.0	210935.0	170678.0
ABHD11	14	14	505800.0		765627.0	489805.0	509683.0	366929.0	547490.0				948608.0				1117800.0		566317.0	666736.0	1932150.0	559740.0	796712.0	1833180.0	872293.0	1116070.0	1030210.0	843062.0	1736790.0	1615850.0	826852.0	365412.0	1343920.0	754235.0	268562.0	465373.0	284980.0	412715.0	470369.0	174300.0	261572.0	462289.0	756165.0	545784.0	313909.0	565587.0	448718.0	373135.0	377070.0	606462.0	603155.0	387304.0	545675.0	585906.0		456745.0	431709.0	460677.0	419523.0	531541.0	478956.0	617256.0	761103.0	396964.0	719786.0	909263.0	547667.0	570965.0	443506.0	393185.0	488804.0	534971.0	620397.0	713010.0	306694.0	333695.0	635558.0	551160.0	586423.0	505226.0	493703.0	477204.0	240281.0	261768.0	254512.0	371632.0	500614.0	329806.0	410566.0	321089.0	317947.0	357292.0	391216.0	373249.0	328600.0	563137.0	556327.0
ABHD12	15	15	291299.0		343653.0	273637.0	293652.0	306542.0									272213.0		282608.0			348851.0	392290.0	210537.0	460512.0	364497.0	407062.0	641484.0	245182.0	308106.0	418257.0	434925.0	237627.0	472899.0	223630.0		178024.0	388084.0	363673.0	257231.0	309824.0	254618.0	330053.0	338060.0	205448.0	311203.0	336656.0	326218.0	365438.0	358259.0	341904.0	317020.0	396812.0	256110.0		519909.0	419918.0	350614.0	423646.0	435265.0	275331.0	398614.0	355932.0	609304.0	293686.0	320337.0	458969.0	359011.0	344162.0	342222.0	413158.0	366216.0	339895.0	210450.0	422996.0	407600.0	364392.0	327653.0	381417.0	324804.0	328031.0	337164.0	337461.0	492705.0	389810.0	236648.0	446808.0	398379.0	494229.0	601736.0	347813.0	360293.0	481903.0	390813.0	450162.0	434369.0	319495.0
ABHD12B	2	2	9997.04				15200.2	2582.02																	15353.8	9382.65		17266.4	10593.0	2286.61		9801.97	5883.93	11545.9				44337.3		6425.01	9193.25	10984.1		13754.8		4362.95															9908.17				14952.6						2684.92							5105.86			8526.13			2847.74	4109.94				6243.75	16588.5		5742.21					
ABHD14B	9	9	482157.0	384881.0	352201.0	441167.0	324684.0	492325.0	221070.0	720289.0			350582.0		503258.0	280860.0	635256.0		448506.0	471771.0	534180.0	428770.0	365569.0	628098.0	584880.0	323078.0	580760.0	383031.0	1035790.0	668400.0	489513.0	396339.0	673062.0	365440.0	785150.0	1355540.0	1206570.0	1064300.0	844345.0	1070530.0	1104040.0	1071650.0	540771.0	1035460.0	943831.0	843860.0	985695.0	700704.0	360428.0	538716.0	458716.0	529238.0	341479.0	724302.0	1415300.0	796871.0	492769.0	395049.0	450341.0	502682.0	410246.0	486917.0	594798.0	821004.0	536058.0	454123.0	438520.0	536852.0	362168.0	389288.0	367926.0	573781.0	320445.0	601123.0	315430.0	331553.0	435960.0	550077.0	463373.0	461631.0	407881.0	514176.0	781241.0	485320.0	524724.0	948879.0	382218.0	809649.0	418005.0	514718.0	447595.0	567890.0	405135.0	493365.0	521369.0	608638.0	347737.0
ABHD16A	13	13	182757.0		189391.0	164279.0	162126.0	169529.0									153056.0				121274.0	156398.0	181999.0	115678.0	226504.0	155517.0	154852.0	193891.0	117810.0	203899.0	101758.0	186019.0	116240.0	183878.0	116597.0		114830.0		141595.0		115207.0	131733.0			147269.0	169563.0	97420.0	152295.0	155985.0	194654.0	173209.0	131312.0	190103.0	79259.6		187088.0	155834.0	135006.0	225092.0	208903.0	118554.0	176038.0	232431.0	198379.0	201812.0	173064.0	213372.0	194660.0	188338.0	181095.0	189968.0	187243.0	179981.0		208405.0	178827.0	178332.0	196807.0	215769.0	179660.0	153066.0	137017.0	145049.0	182428.0	122508.0	128301.0	158088.0	175485.0	148193.0	166733.0	179257.0	193056.0	172435.0	218673.0	164793.0	169009.0	193293.0
ABHD17B	6	6	11717.9						11434.2								12302.0								27293.7	18565.9		24911.2	16372.1			17260.8		28357.7				55784.7	16840.3	16550.9	17162.1	11988.8	14247.7			8665.11		7535.1	8626.9		25493.0	10242.2	7333.17			24125.5	11790.4	21284.4			14494.1			33648.5	16833.9	5213.74	4008.5	7298.05	4989.08		4758.55	7253.6	8931.92		9013.99	5735.72		5701.89	6384.36	7184.61	14753.3	6582.56	13445.6	4587.84				8667.24	23590.7			6569.81	6218.91	8829.89		13891.8	8429.83
ABHD17C	1	1	3195.29				4727.69																	1755.58	5111.78	4245.2		4431.78	3347.24									21798.7											2734.82				1358.97			5258.62				1694.94				3309.11		1450.28				1544.02										3639.1	4738.31																
ABHD5	5	5	9530.54		4873.24	6208.89	4927.35	6352.7					11195.3						7961.46			10610.2	4550.1	7062.21	14592.2	13277.2	5592.84	16942.3	8302.56	6918.06		6964.37	6593.29	11920.5				14143.9	12399.2		3755.78	6062.75		4789.63		4630.49		4246.04	3932.67	4458.6	5942.86	7102.76	4390.07	7262.88		22426.0	4333.06	5540.79	3733.12	3878.16	6674.07	3392.12		23714.5	9145.09	3208.6	2976.03	3746.16	2123.75	3182.78		5633.86	4520.5		4445.66	2751.15	3359.43	6476.78	3989.31	5356.24	6160.63	4240.63	3539.98		5142.53		4222.04	4913.16	7538.76		5471.76	5702.16			2865.15	9378.25	4472.83
ABHD6	1	1																							25475.1													38986.2	24513.6		13098.9					10166.5						16502.0				46518.7									20644.9	15014.8	17755.4				8885.99															29119.4				26617.1		19066.1				15528.0	
ABI1	11	7	47888.3		108283.0	54922.6	47063.7	61206.9	49864.0								61015.6					68790.7	47191.3	69027.3	67726.0	76866.2	77598.9	57093.0	74207.4	65749.6	69129.9	71004.9	50880.9	65581.0	44915.7		60534.6	51511.8	42338.7	45653.2	59055.6	68545.1	53063.9	70096.6	64842.4	63593.8	54069.6	60627.0	32467.5	34999.3	38336.7	38372.6	39456.2	31846.5		104581.0	38654.8	28851.7	44180.8	32355.6	41825.1	31449.3	48118.0	109529.0	39800.9	31852.3	31978.1	33814.3	41331.0	36178.9	43414.5	38195.8	36720.7	27148.0	42179.5	36211.8	42407.7	41146.4	31990.0	48054.1	33020.8	44579.0	75447.6	45207.9	52417.9	52162.7	46063.9	83204.9	39067.0	47574.0	54462.9	54866.6	41680.0	40650.3	43061.8	63082.0	33776.4
ABI2	7	7	27603.0		20280.0		19900.4	20886.1																22498.8	24068.1				22324.8	22340.5			18887.6								16513.0				22457.4	21003.6			39094.3	21187.4	24319.3	23989.2	40832.7				41660.6	27850.4	28045.2	25892.2	33780.4	19721.6	34956.1	19362.6	26959.7	29515.4	29076.6	36626.1	26219.4	25764.9	27819.4	30971.9	28008.0	27995.1	19192.4	26993.1	23149.2	37890.0	18911.7	23433.9	34592.5	37690.1		16069.0		18391.0	19623.2	21417.4	42619.1			24913.2	28324.5		14315.5	25153.0	25789.9
ABI3	6	6	28039.1		33318.9	25311.3	14488.6															43144.2		22051.2	35656.9		22928.5	40757.7	34416.0	31518.3	26616.4				61518.8	39712.1	118193.0	155195.0	96451.2	137878.0	130072.0	141979.0	39630.4	115878.0	99894.1	72398.6	91893.6	105296.0	69105.6	31758.5	89979.1	47231.0	61986.8	52046.8		27293.1	46693.3	32207.6	95139.7	44813.7	42843.4	71937.4	53057.6	76133.4	76587.7	54883.4	59025.4	68178.7	63371.5	53246.1	81964.6	58435.1	70872.5		99931.7	71160.5	33093.4	44331.9	67768.7	44599.6	42311.7	47934.1	117690.0	100314.0	114654.0	101985.0	86380.9	100580.0	71527.9	142381.0	86108.0	119913.0	94958.0	116998.0	119927.0	91804.9	72689.8
ABI3BP	10	10					27964.4	21936.7											51498.1			100175.0			37813.6	18911.9		31388.8		12051.2					420905.0	153495.0	116049.0	51891.6	100852.0	256032.0	131832.0	87468.9		175915.0	89945.8	68806.0	48334.3	190370.0																				7379.41															37870.9	402259.0	207730.0	51347.0	12702.7	84841.1			44496.5	42537.3	8020.33				
ABL2	3	2																				793873.0		1217210.0						841979.0		1308330.0	395024.0	1467220.0							919995.0	624185.0				993791.0			1363660.0			511655.0								589890.0	447874.0	2353660.0		835412.0	429887.0	476734.0		792108.0	842606.0	446768.0	429363.0	444783.0	644558.0		336803.0	499709.0		578671.0	577760.0	394419.0				367312.0		847113.0	460962.0				1049860.0		577841.0				677389.0
ABLIM1	12	12	26532.0		17697.4			28427.1	24512.6		43181.4						20581.8		23500.9			11634.4		18177.0	25488.7	21444.3	29987.6	18185.7	16093.8	35538.8			18907.7	20604.1	18383.7		37230.5	36877.9	20995.0	36399.7	44072.4	39687.0	22047.1	30591.0	31690.2	18326.2	32451.3	17420.9	43183.1	21036.0	24559.7	22341.1	26882.3			49440.7	43667.3	28189.3	17306.9	21988.6	31399.8	16741.8	36233.9	44554.6	25783.1	32514.9	21652.0	25307.6	37837.2	28349.6	32593.5	33631.0	7239.85	17595.8	15001.8	19032.1	24984.5	23925.5	24861.7	24538.0	33500.1	24941.8	76996.1	24094.8	29611.4	67185.4	13962.8	34806.9	41196.7		32724.6	19065.3	26758.1	13607.4	18211.6	29619.0	20637.1
ABR	15	13	34687.6		22186.9	32589.9	26837.1	35435.2					40089.7				41568.4					39635.9	24362.4	29819.8	37759.1	24427.6	45328.3	41095.7	33649.5	38007.6	20995.6	30525.6	33224.6	28873.9	36181.2		51319.9	36851.5	33381.7	37552.5	48619.5	34760.5		38368.7	40339.2	39776.8	44559.0	81488.3	35877.3	28190.3	23038.2	31852.2	40271.8	29355.1		52220.6	29318.9	34884.2	36843.8	31000.6	43447.1	30429.4	46183.9	58985.7	35402.4	31105.3	37935.6	36496.2	34963.3	29241.5	30612.3	30576.2	49930.0	29481.9	57624.3	37787.7	36769.0	40012.8	38056.6	31226.2	26133.1	35845.8	61287.3	65725.6	61197.6	39062.4	53649.9	48433.3	46343.8	74332.5	66893.4	64343.6	49429.3	40323.0	59241.0	52292.3	35947.8
ABRACL	4	4	494343.0	501180.0	929909.0	828482.0	565201.0	548187.0	392292.0	660522.0			1688820.0	1142950.0	1878020.0	1643480.0	1475600.0	574315.0	1116060.0	989056.0	1740020.0	825760.0	916904.0	1500220.0	750318.0	889706.0	1152390.0	764901.0	1565470.0	1882660.0	1009700.0	804722.0	1237780.0	594928.0	901558.0	1259060.0	1491510.0	871199.0	916177.0	1654550.0	1359150.0	861133.0	1688740.0	1224990.0	862792.0	1381190.0	1707880.0	1170020.0	696755.0	643133.0	667192.0	715181.0	855233.0	897786.0	690715.0	837611.0	710259.0	508597.0	650491.0	454242.0	494185.0	901758.0	1135100.0	462967.0	479803.0	794250.0	932283.0	588529.0	579459.0	513399.0	825145.0	741794.0	461227.0	506420.0	657944.0	525961.0	484893.0	856328.0	678790.0	463549.0	542381.0	678686.0	618080.0	800176.0	774422.0	542186.0	614394.0	823206.0	476528.0	1032610.0	924362.0	745435.0	896409.0	981538.0	1018780.0	1071190.0	697945.0
ABRAXAS2	10	10	18394.0		16511.1	10671.2	11025.6	17857.3														15268.1		14503.5	24115.8	10079.9	14799.4	28447.7	15352.6	15052.8	13343.2	14937.6	13244.9	21255.6			23193.1	40865.7	28545.9	16381.1	16712.1	26381.8	26408.4	15088.7	11978.9	20212.8	13696.3	20047.2	18686.8	17797.6	13342.9	15702.5	12954.2	10364.3		28518.4	18234.0	20955.2	11689.3	13103.3	17381.2	11401.6	14985.6	24620.6	16168.9	8647.3	14968.7	12503.6	12043.5	13876.6	19376.0	12840.0	15503.3		15885.4	13700.0	15612.2	11460.3	11715.1	12277.9	18453.9	18416.0	12723.9	15480.8	19482.7	17307.9	12367.0	22037.8	15305.0	18513.2	21702.4	17681.1	14021.6	16101.7	19241.1	18909.8	11375.8
ABT1	6	6					2807.38															2565.52		1537.12		3594.41			3409.2	2268.67	2968.52	4459.05		7242.33	6208.65		5300.71				3037.37				4426.25	3176.58		2509.4	4456.23		4521.22	6299.45	6527.68				4331.86	2587.65	3381.83	3841.81	4035.35		2452.4		3367.26	4023.01	5015.07	4243.99	4780.97	4094.24	2781.86	3947.2			3492.03	3890.31		4448.83	4745.09	3391.92	5493.59	4127.1	4711.87	3853.87			4201.95	3756.19				2649.08	2450.88	3650.24		4049.51	4259.82
ACAA1	13	13	219939.0		365709.0	163868.0	158140.0	219327.0	120529.0				106067.0				271944.0		117160.0		161834.0	327403.0	200890.0	144455.0	452783.0	383575.0	160956.0	328822.0	188172.0	182504.0	224599.0	224259.0	185976.0	443651.0	92195.5		95176.8		215830.0	121783.0	115725.0	121382.0	131964.0	156184.0	153037.0	141447.0	226083.0	260720.0	100037.0	138903.0	112092.0	141605.0	167097.0	115718.0		226292.0	131541.0	109425.0	98275.7	109629.0	151626.0	94869.8	80987.7	171677.0	143569.0	99981.1	118817.0	115458.0	101948.0	76792.0	115463.0	114079.0	121523.0	65448.5	136842.0	108189.0	77645.4	98076.4	104294.0	108815.0	117040.0	101260.0	159322.0	135337.0	90814.3	105482.0	121609.0	139492.0	179949.0	141011.0	169258.0	161086.0	142994.0	110149.0	94711.4	189346.0	144791.0
ACAA2	17	17	383888.0	206771.0	218013.0	293059.0	344192.0	329000.0	253229.0				242764.0		334627.0		227870.0				413551.0	228808.0	251875.0	445024.0	296144.0	154648.0	323212.0	182766.0	197692.0	372047.0	213395.0	292846.0	397965.0	168300.0	387929.0	250992.0	411032.0	265457.0	388369.0	412514.0	386981.0	367641.0	248551.0	328419.0	416684.0	402781.0	368032.0	363476.0	174611.0	194816.0	159079.0	142786.0	200431.0			205049.0	240675.0	153847.0	236973.0	156711.0	185113.0	187705.0	175959.0	253602.0	199124.0	184218.0	179006.0	174788.0	178806.0	163601.0	216825.0	189763.0	213146.0	126520.0	260025.0	242629.0	214285.0	159292.0	171527.0	159312.0	163231.0	177676.0	357625.0	376540.0	329748.0	363949.0	294180.0	449273.0	254069.0	449748.0	436649.0	341250.0	250720.0	302767.0	312069.0	294740.0	159589.0
ACACA	58	50	1594310.0		1654260.0	1478480.0	1215220.0	1505950.0	1834350.0						2253860.0		1974730.0				1596630.0	1313070.0	1271120.0	1745770.0	1959090.0	1261170.0	1358030.0	1497950.0	1855460.0	1581990.0	1385470.0	1765660.0	1880380.0	2143910.0						1219110.0	1293450.0	1454500.0		1339420.0		1242210.0	1104970.0	1208860.0	2583980.0	3745380.0	3501160.0	3278520.0	3209060.0	2033630.0		3009800.0	3314440.0	3373810.0	2322450.0	2835440.0	2971100.0	3491300.0	4170590.0	3684310.0	2626640.0	3111840.0	3355730.0	3370390.0	3378520.0	3011260.0	2694690.0	3336120.0	2404770.0	1888900.0	2230930.0	2427780.0	2842610.0	3094040.0	2538680.0	2711020.0	3159900.0	3436650.0	1131040.0	1129070.0	1052170.0	950901.0	2352870.0	1259790.0	2986060.0	1811300.0	1284810.0	2193400.0	3107740.0	2667540.0	2059190.0	2238320.0	2829730.0
ACAD10	10	10	6654.59		9805.15	5231.65	8294.87	7625.6									5310.68					4844.81		7522.14	6148.91	3737.52	6252.26	5051.9	9739.06	9100.1	4209.28		11190.1					7267.24	7945.85		3469.92	6918.5				6564.34	7797.42		5118.53	4862.61	9201.86	5596.58	5084.71				8252.04	5722.84	7263.36	4696.85	6039.06	4237.91	7495.7	5720.64	6464.36	5367.43	4218.25	6416.93	4945.84	4658.77	5401.59	5447.78	4544.91		4470.51	4297.77	6331.75	7685.43	5114.15	4355.86	5169.16	5620.97	3703.3	3501.92	6525.13	5140.43	4161.16	4225.41	4695.65		5754.82	4418.0	2992.86	5114.69	4948.5	3551.55	6327.04
ACAD8	8	8	250624.0		180681.0	159481.0	127398.0	146300.0									186282.0					200848.0	279865.0	352523.0	456546.0	305633.0	231443.0	288844.0	208960.0	291229.0	232084.0	284192.0	318509.0	296910.0		252082.0	452591.0	360229.0	215441.0	305809.0	336527.0	279358.0	221786.0	313056.0	446137.0	361482.0	324450.0	306332.0	118075.0	197127.0	389164.0	135002.0	156778.0			392747.0	171981.0	178560.0	192260.0	133840.0	128215.0		157754.0	364690.0	267588.0	139198.0	132996.0	140154.0	184767.0	151472.0	157142.0	169160.0	164210.0	188205.0	178728.0	135671.0	155367.0	205376.0	112797.0	153132.0	185528.0	126197.0	334363.0	277162.0	162649.0	336577.0	172521.0	409545.0	211052.0	252630.0	243905.0	140826.0	191525.0		223392.0	233236.0	143383.0
ACAD9	23	23	120664.0	80177.6	96757.8	103507.0	81384.7	89923.5	107199.0								60691.5		50691.7		95810.9	85280.4	71665.2	101097.0	121911.0	89887.8	78029.8	59218.3	110190.0	97585.9	93053.3	98388.3	102062.0	78635.6	51108.4	66643.4	44763.2	61204.2	67694.1	51367.6	65548.1	75361.1	109771.0	82269.0	45246.9	78183.4	58065.0	55655.5	79485.8	74940.1	91644.8	69118.8	76383.9	96013.8	115711.0	124896.0	108060.0	82634.3	71567.1	81180.0	83631.9	98189.4	119343.0	109421.0	121848.0	95041.7	90751.5	76383.8	82921.4	76013.4	64992.8	82851.1	76856.3	111003.0	66923.4	78306.8	89892.3	139138.0	85991.0	71115.0	104209.0	87508.8	54053.2	49870.1	51891.1	64194.8	79009.6	64342.2	80752.8	55408.0	65028.1	72103.1	72512.1	56324.0	74198.1	79985.0	99889.2
ACADM	20	20	146134.0	167048.0	174881.0	119111.0	132154.0	90980.3	159629.0	267891.0			153874.0			255280.0	210808.0		116614.0		184365.0	164815.0	154834.0	251706.0	175064.0	179174.0	299836.0	150264.0	213620.0	304230.0	205303.0	158145.0	232962.0	155573.0	313037.0	208614.0	365860.0	252294.0	268634.0	298587.0	288868.0	313119.0	310358.0	279281.0	266242.0	417170.0	307071.0	294157.0	140056.0	149916.0	119864.0	139829.0	173413.0	125790.0		130554.0	130910.0	109366.0	185306.0	125034.0	146188.0	119295.0	130377.0	153644.0	180293.0	117167.0	161872.0	140965.0	127688.0	127904.0	142064.0	143339.0	137603.0	131509.0	163556.0	156969.0	156688.0	134510.0	140516.0	159399.0	162662.0	138572.0	300004.0	355694.0	255573.0	247514.0	195674.0	337720.0	160432.0	261812.0	276216.0	212167.0	163659.0	152271.0	174893.0	194880.0	148850.0
ACADS	9	9	38068.0		34416.1	36565.7	33374.1	44110.3	23946.8							91386.0	67601.3				42051.6	55948.4	54593.5	44556.2	76440.0	66580.8	52609.0	53444.8	52611.6	49125.8	53438.6	36036.0	40808.2	37752.6	62939.6		53858.1	58273.5	61104.6	42152.6	54499.9	61297.8	37592.8	59859.4	36044.6	53086.3	47915.0	64630.0	31574.5	25872.4	36834.8	31130.5	32661.4	25055.2		40703.2	42664.9	32009.9	55468.6	29574.6	24824.7	44894.3	44623.5	29504.2	43318.1	30393.6	40393.9	30958.0	35837.7	27738.8	42297.1	31409.9	30205.6	59187.3	36629.2	25086.6	25550.1	48890.6	30908.5	20509.1	29168.9	23973.5	54103.6	61792.7	50603.7	70641.7	46160.1	70198.2	39973.2	52393.1	67814.5	40316.0	41356.6	42408.3	62151.3	55499.3	56255.8
ACADSB	6	6	84496.1			127140.0											184345.0					134074.0		135118.0	203143.0			91913.9	138551.0	124906.0		93014.8	79304.0				157084.0			186821.0	185087.0	170491.0	260542.0	188128.0	168484.0	176713.0	179062.0	117152.0	302093.0	240282.0	222577.0	246507.0	275847.0	183546.0		204319.0	372764.0	209716.0	258553.0	263205.0	324513.0	196928.0	363813.0	240295.0	279055.0	314737.0	262399.0	277216.0	364433.0	344392.0	294432.0	236205.0	232576.0	184666.0	244060.0	241450.0	260618.0	306574.0	203733.0	213126.0	333238.0	371711.0	346262.0	310671.0	336182.0	564120.0	339104.0	310705.0	230454.0	112216.0	324013.0	251460.0	297408.0	185297.0	236758.0	308051.0	293500.0
ACADVL	33	33	688096.0	792369.0	551505.0	700390.0	667094.0	568769.0	669416.0		846116.0		930780.0	933630.0	557452.0	470975.0	680997.0		424349.0	648979.0	982061.0	541737.0	541823.0	822991.0	683359.0	542378.0	694877.0	511856.0	949000.0	860894.0	490788.0	605570.0	812100.0	550873.0	687516.0	751589.0	547599.0	638258.0	844803.0	695850.0	586740.0	679837.0	1061530.0	697658.0	589688.0	853721.0	650902.0	689040.0	758754.0	828817.0	540800.0	724661.0	625238.0	629005.0	770271.0	1388930.0	758452.0	571650.0	748839.0	819662.0	599755.0	780905.0	731966.0	1239550.0	783294.0	630003.0	637217.0	681831.0	562613.0	511332.0	550696.0	760705.0	645626.0	685597.0	657187.0	605236.0	676990.0	773168.0	648247.0	641754.0	783524.0	561278.0	807940.0	756115.0	681876.0	748984.0	755745.0	979042.0	678415.0	759324.0	1103820.0	627406.0	544363.0	684511.0	556908.0	1035360.0	720830.0
ACAN	6	6	13229.7			50407.3	19369.3	43678.7															15953.8	9791.87					9926.3	7165.56			7741.1								10598.1																																																								
ACAP1	17	17																								57902.8				44415.3	78527.2				207763.0		284979.0	200401.0	157901.0	297262.0	317805.0	301681.0	162407.0	222737.0	316638.0	208279.0	199224.0	213326.0	29237.8	70584.7		60261.4							61356.7		49592.6			71473.8			46119.7	47351.2	48327.4	32765.2	55182.4	49902.8	48201.4		78390.8	42714.3			31281.9	17612.5			222648.0	195845.0	207638.0	232857.0	97388.3	190745.0	76809.9	124398.0	131312.0	106090.0	72341.2	65333.2	69218.9	88456.4	
ACAP2	11	11	44715.6		31289.6		35680.4	33123.7														38903.2		51872.7	28195.9	30805.8	31533.4	30401.8	40768.2	36312.5		21128.8	43182.8	18953.7	48802.3	50238.9	49546.0		53743.1	43107.1	52311.9	47554.2	38817.6	31278.6	37531.0	55678.1	31763.9	33933.4	29826.4	27094.4		21675.0	31432.0			53956.9	25212.3		40958.7	30246.0	26750.7			81256.1	35741.6	28473.2	33387.4	28295.5	20552.6	27694.0	30629.9	31271.9	39913.0		35387.3	23037.0	39019.6	28703.3	23317.0	31266.8	25746.3	24560.8	77411.6	64912.4	29845.5	49269.8	30468.3	59022.2	28300.0	57800.8	63877.3	47113.1	30239.0	34767.2	37613.7	47443.4	28131.6
ACAT1	21	21	805609.0	638183.0	993498.0	809221.0	737729.0	808520.0	665702.0				1179240.0		606476.0		1149650.0	628260.0	557942.0	685255.0	1296780.0	886928.0	858426.0	1117310.0	866419.0	860690.0	876449.0	563280.0	820738.0	943465.0	635383.0	688765.0	1140520.0	610478.0	745070.0	723981.0	971148.0	598299.0	781594.0	996624.0	959175.0	858322.0	895834.0	1025290.0	813942.0	1031370.0	787043.0	1003530.0	988227.0	653664.0	889315.0	1014050.0	1022390.0	830102.0	818053.0	625844.0	1254470.0	810270.0	871924.0	665577.0	1007320.0	879892.0	1282680.0	668977.0	1139050.0	862256.0	795554.0	957242.0	760075.0	791039.0	921600.0	905579.0	746990.0	867619.0	820269.0	943756.0	1100300.0	1152630.0	1085140.0	763503.0	1180770.0	984591.0	928995.0	1056620.0	919296.0	1025200.0	938492.0	1120350.0	1168680.0	1096530.0	971359.0	841228.0	856708.0	731161.0	944757.0	990306.0	886884.0
ACAT2	11	11	421949.0	369675.0	412151.0	451704.0	376861.0	625935.0	508891.0				393595.0	353175.0			234653.0	290849.0	127384.0		305255.0	328106.0	385514.0	260337.0	403799.0	334074.0	353034.0	328615.0	466558.0	349765.0	181997.0	517535.0	393144.0	331575.0	169531.0	215530.0	345326.0	471184.0	363907.0	357956.0	303957.0	349815.0	434112.0	310688.0	270849.0	262522.0	216074.0	260034.0	290626.0	255465.0	289097.0	294236.0	149471.0	126446.0	330418.0	825383.0	283670.0	293558.0	198244.0	160819.0	261433.0	227002.0	290288.0	792684.0	316111.0	137965.0	167306.0	202300.0	193525.0	225439.0	167332.0	251374.0	160276.0	170405.0	191138.0	261543.0	172383.0	260684.0	172707.0	224624.0	197096.0	225529.0	303738.0	228859.0	290974.0	237204.0	180186.0	372004.0	235412.0	274704.0	317308.0	181453.0	181613.0	209710.0	222896.0	457002.0	169920.0
ACBD3	13	13	130053.0		117299.0	129090.0	133007.0	148444.0	100756.0							119971.0	202712.0		116454.0		175335.0	180500.0	158622.0	134803.0	161759.0	169171.0	149211.0	148008.0	174702.0	165394.0	144781.0	150179.0	143405.0	181193.0	76186.2	109377.0	87468.4	93384.5	80753.6	68971.4	87989.6	80374.4	158586.0	115455.0	90301.1	162279.0	126744.0	120584.0	129195.0	111613.0	91845.6	112332.0	120919.0	103281.0		133119.0	117065.0	98985.5	106827.0	120577.0	108648.0	115781.0	143916.0	116528.0	115249.0	118408.0	102786.0	127942.0	90214.5	84732.0	109988.0	120126.0	117274.0	92265.2	118127.0	116016.0	147230.0	147696.0	118248.0	117000.0	102750.0	141605.0	90868.4	123947.0	101161.0	85574.6	118973.0	123580.0	121489.0	113614.0	90895.7	103167.0	93642.5	86105.8	104643.0	108588.0	115452.0
