gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
PCK2,12,15,17.819494980746516,17.95672546205367,-0.13723048130715298,75.0,0.47923869644716965,0.8731316943869654
DFFA,12,15,16.43927202792885,16.372323708692665,0.06694831923618594,105.0,0.47923869644716965,0.8731316943869654
ALOXE3,12,15,17.251573069830403,16.867552543306992,0.3840205265234111,105.0,0.47923869644716965,0.8731316943869654
HLA-H,12,15,16.979057842614353,17.01879368822143,-0.039735845607076214,75.0,0.47923869644716965,0.8731316943869654
POM121,12,15,12.857532151771546,12.970469768098418,-0.11293761632687271,75.0,0.47923869644716965,0.8731316943869654
PES1,12,15,16.43279981911952,16.454193665601796,-0.021393846482276047,105.0,0.47923869644716965,0.8731316943869654
PDE4DIP,12,15,14.39147496003015,14.326190808706103,0.06528415132404675,105.0,0.47923869644716965,0.8731316943869654
PDLIM7,12,15,16.80446934742136,16.869930608762697,-0.06546126134133701,75.0,0.47923869644716965,0.8731316943869654
SPTLC1,12,15,17.553397272328382,17.578697846610407,-0.025300574282024257,105.0,0.47923869644716965,0.8731316943869654
GSR,12,15,16.672185172801797,16.582287530477174,0.0898976423246225,105.0,0.47923869644716965,0.8731316943869654
SSH3,12,15,15.6448390144759,15.479525454264152,0.16531356021174837,105.0,0.47923869644716965,0.8731316943869654
PMVK,12,15,17.304564818444163,17.382462243848238,-0.07789742540407474,75.0,0.47923869644716965,0.8731316943869654
PDXDC1,12,15,18.536353803005742,18.476551877024644,0.059801925981098236,105.0,0.47923869644716965,0.8731316943869654
SCARB1,12,15,16.03803225287227,15.886016611956025,0.15201564091624498,105.0,0.47923869644716965,0.8731316943869654
OSTF1,12,15,17.262665639416642,17.31601534449664,-0.0533497050799987,75.0,0.47923869644716965,0.8731316943869654
USP11,12,15,13.655498641981488,13.733027136445875,-0.07752849446438681,75.0,0.47923869644716965,0.8731316943869654
DNAJC11,12,15,16.620438592309096,16.680377667399434,-0.05993907509033747,75.0,0.47923869644716965,0.8731316943869654
AIMP1,12,15,17.380262430951195,17.292016373408547,0.0882460575426478,105.0,0.47923869644716965,0.8731316943869654
SWAP70,12,15,17.067081254513507,17.031747536652485,0.035333717861021796,105.0,0.47923869644716965,0.8731316943869654
CHI3L1,12,15,15.783753256365022,15.612899046452526,0.17085420991249656,105.0,0.47923869644716965,0.8731316943869654
ABCE1,12,15,18.43171834639615,18.367034031616665,0.064684314779484,105.0,0.47923869644716965,0.8731316943869654
XPOT,12,15,14.24665134600246,14.22989536404209,0.016755981960370647,75.0,0.47923869644716965,0.8731316943869654
EIF5B,12,15,17.596503211679405,17.503558695548936,0.09294451613046917,105.0,0.47923869644716965,0.8731316943869654
TEX264,12,15,15.249079565204603,15.13634324344451,0.1127363217600923,105.0,0.47923869644716965,0.8731316943869654
