cell_type,gene,r,p,rank,direction,p_bh
CD8_EM,RPS6KB2,0.5524987470977668,4.66874765048253e-05,2,pos,0.00010831236058980932
CD8_EM,NQO1,0.547415743441429,5.660044021493782e-05,3,pos,0.00012543033842645502
CD8_EM,ENO1,0.533874112557094,9.313614606076825e-05,4,pos,0.00017167953190925025
CD8_EM,CPQ,0.5305500275694985,0.00010490992870049176,5,pos,0.00018650653991198537
CD8_EM_EMRA,NQO1,0.5549567921951744,4.248876508095023e-05,1,pos,0.00010146570765600055
CD8_EM_EMRA,ENO1,0.5413491872725656,7.093591725104709e-05,2,pos,0.00014816901775675632
CD8_EM_EMRA,GFUS,0.5288975706210035,0.00011125429204450477,3,pos,0.0001960428053647661
CD8_EM_EMRA,HTATIP2,0.5265568694864152,0.00012084054532301991,4,pos,0.00020523795512172307
CD8_EM_EMRA,TM9SF2,0.5264981569478487,0.00012109039352181661,5,pos,0.00020523795512172307
CD8_TRM,SF3B5,0.5389703905702576,7.74106206478109e-05,1,pos,0.00015559923748303698
CD8_TRM,RPS6KB2,0.5360164936320504,8.620078100296524e-05,2,pos,0.0001636550459063496
CD8_TRM,NECTIN4,0.5253498635272029,0.00012607249619489558,3,pos,0.00021145853969262534
CD8_TRM,ATP1A1,0.5153583236855463,0.00017797890299053876,4,pos,0.00027381369690852116
CD8_TRM,EPHX2,0.5127643410409118,0.00019430855306779016,5,pos,0.00029374934773457003
CD8_TRM_EM,RPS6KB2,0.5536476269600804,4.467984821032722e-05,1,pos,0.00010512905461253464
CD8_TRM_EM,NECTIN4,0.5505292374990924,5.0322398511992716e-05,2,pos,0.00011502262517026907
CD8_TRM_EM,SF3B5,0.5453688718735912,6.110997479069624e-05,3,pos,0.0001324877502237317
CD8_TRM_EM,NQO1,0.5438236125518302,6.472957198067064e-05,4,pos,0.00013920338060359277
CD8_TRM_EM,CPQ,0.5220674671566574,0.0001413610800486964,5,pos,0.0002293891765496088
Chondrocyte,LSM14A,0.6811393543151189,9.925674016031394e-08,1,pos,7.784842365514819e-07
Chondrocyte,PCNA,0.6275083923758848,1.8125915546285398e-06,2,pos,8.975470133924474e-06
Chondrocyte,RPRD2,0.6118731488409405,3.82397688447611e-06,3,pos,1.571512979781941e-05
Chondrocyte,DHX37,0.6060237849523806,5.004759741522591e-06,4,pos,1.924907592893304e-05
Chondrocyte,GTF2I,0.5983666224450368,7.0615100007387355e-06,5,pos,2.521967857406691e-05
Ciliated,CCAR2,0.5242160781960506,0.00013117415547903022,1,pos,0.0002172656819528451
Ciliated,MSI2,0.5044998706135879,0.0002558202557150224,2,pos,0.00036286561094329425
Ciliated,KRT33B,0.4956933188855728,0.0003403387910709821,3,pos,0.0004654205689859584
Ciliated,XPO7,0.490267064130503,0.00040425087337303545,4,pos,0.0005354316203616364
Ciliated,NDC1,0.45286224316548535,0.001229191941509944,5,pos,0.001330654334516854
DC_1,GFUS,0.48269265798709793,0.0005115978082201877,1,pos,0.0006537991159363422
DC_1,ENO1,0.48221711561801145,0.0005191245012021728,2,pos,0.0006613050970728316
DC_1,UCHL3,0.4804630748753848,0.0005477570310921109,3,pos,0.000693363330496343
DC_1,NQO1,0.47660771129812113,0.0006157469745191602,4,pos,0.0007526684744835665
DC_1,SF3B5,0.47658078895338896,0.0006162473134834201,5,pos,0.0007526684744835665
DC_2,SF3B5,0.5651304682740966,2.8536730428463386e-05,1,pos,7.712629845530646e-05
