A,B,R,z,p
B_plasma_IgA,Deuterosomal,0.22209393978118896,145.06292724609375,0.0
B_plasma_IgA,Dividing_AT2,0.11804254353046417,77.10069274902344,0.0
B_plasma_IgA,Dividing_Basal,0.25610652565956116,167.27859497070312,0.0
B_plasma_IgA,Endothelia_Lymphatic,0.031095415353775024,20.310287475585938,1.0429218361569897e-91
B_plasma_IgA,Endothelia_vascular_Cap_a,-0.04404371976852417,-28.76760482788086,5.45589766071921e-182
B_plasma_IgA,Endothelia_vascular_Cap_g,-0.02646929956972599,-17.288692474365234,5.7235851667973164e-67
B_plasma_IgA,Endothelia_vascular_arterial_pulmonary,-0.008842427283525467,-5.775521755218506,7.671498667537444e-09
B_plasma_IgA,Endothelia_vascular_arterial_systemic,0.0076246438547968864,4.980113983154297,6.354683468512992e-07
B_plasma_IgA,Endothelia_vascular_venous_pulmonary,0.07260998338460922,47.42595291137695,0.0
B_plasma_IgA,Endothelia_vascular_venous_systemic,0.08871529996395111,57.94530487060547,0.0
B_plasma_IgA,Erythrocyte,-0.05854765325784683,-38.240997314453125,0.0
B_plasma_IgA,Fibro_adventitial,0.22640115022659302,147.876220703125,0.0
B_plasma_IgA,Fibro_alveolar,-0.0839562639594078,-54.836891174316406,0.0
B_plasma_IgA,Fibro_immune_recruiting,0.28911256790161133,188.83682250976562,0.0
B_plasma_IgA,Fibro_myofibroblast,0.13340111076831818,87.13229370117188,0.0
B_plasma_IgA,Fibro_peribronchial,0.13831080496311188,90.339111328125,0.0
B_plasma_IgA,Fibro_perichondrial,0.06015658378601074,39.29188537597656,0.0
B_plasma_IgA,ILC,0.056945715099573135,37.19467544555664,8.320013890306508e-303
B_plasma_IgA,Ionocyte_n_Brush,0.3401472568511963,222.170654296875,0.0
B_plasma_IgA,MAIT,-9.171831334242597e-05,-0.05990675091743469,0.9522299030995832
B_plasma_IgA,Macro_CHIT1,-0.15166935324668884,-99.06438446044922,0.0
B_plasma_IgA,Macro_interstitial,-0.048558030277490616,-31.71617317199707,9.298707899878365e-221
B_plasma_IgA,Macro_AW_CX3CR1,0.22438783943653107,146.5612030029297,0.0
B_plasma_IgA,Macro_alveolar_metallothioneins,0.023012647405266762,15.030945777893066,4.603852950618686e-51
B_plasma_IgA,Macro_alv,-0.17950539290905,-117.24578094482422,0.0
B_plasma_IgA,Macro_dividing,-0.14328382909297943,-93.58729553222656,0.0
B_plasma_IgA,Macro_int,-0.0922522321343422,-60.25548553466797,0.0
B_plasma_IgA,Macro_CCL,-0.031133946031332016,-20.3354549407959,6.245765503035372e-92
B_plasma_IgA,Mast_cell,0.018838560208678246,12.304597854614258,8.556151526327948e-35
B_plasma_IgA,Megakaryocyte,0.2133024036884308,139.32064819335938,0.0
B_plasma_IgA,Mesothelia,0.18144828081130981,118.5147933959961,0.0
B_plasma_IgA,Macrophage_intermediate,0.04349522665143013,28.409351348876953,1.5499063486653224e-177
B_plasma_IgA,Monocyte_CD14,-0.05089617893099785,-33.24335861206055,2.5461881567181193e-242
B_plasma_IgA,Monocyte_CD16,0.013859710656106472,9.052611351013184,1.3958939426087026e-19
B_plasma_IgA,Muscle_airway,-0.055952273309230804,-36.545799255371094,2.0792777818651926e-292
B_plasma_IgA,Muscle_pericyte_airway,0.08960437774658203,58.5260124206543,0.0
B_plasma_IgA,Muscle_pericyte_parenchyma,0.008877228014171124,5.798252105712891,6.700966398966563e-09
B_plasma_IgA,Muscle_perivascular_immune_recruiting,0.2748290002346039,179.5073699951172,0.0
B_plasma_IgA,Muscle_smooth_pulmonary,-0.06257942318916321,-40.8743896484375,0.0
B_plasma_IgA,Muscle_smooth_syst_arterial,-0.06910622119903564,-45.13743209838867,0.0
B_plasma_IgA,Myoepithelial,0.2903048098087311,189.6155548095703,0.0
B_plasma_IgA,NAF_endoneurial,-0.055018436163663864,-35.93585205078125,8.419499010869811e-283
