gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
GSDMD,4,8,15.743265093150626,15.662729874122686,0.08053521902794003,19.0,0.6828282828282828,1.0
FARP1,4,8,15.385088944434028,15.358727072696226,0.02636187173780158,19.0,0.6828282828282828,1.0
RAB4B,4,8,15.530269265990663,15.440951179944545,0.08931808604611824,19.0,0.6828282828282828,1.0
MBOAT7,4,8,14.719641919371806,14.733183068824786,-0.013541149452979795,13.0,0.6828282828282828,1.0
FRK,4,8,15.808418265074462,15.69925432883517,0.1091639362392911,19.0,0.6828282828282828,1.0
GABPA,4,8,14.534734792993307,14.422250278355463,0.1124845146378437,19.0,0.6828282828282828,1.0
AP2A2,4,8,16.97669019632728,17.148495450524884,-0.17180525419760428,13.0,0.6828282828282828,1.0
AGT,4,8,15.958822231594315,15.966832275904906,-0.008010044310591269,19.0,0.6828282828282828,1.0
DEF6,4,8,16.666175914015614,16.78736981972765,-0.12119390571203681,13.0,0.6828282828282828,1.0
KRT33B,4,8,21.45072497871859,22.718667705305172,-1.2679427265865826,13.0,0.6828282828282828,1.0
DYNC1LI1,4,8,16.926965919952657,17.11059618898022,-0.18363026902756374,13.0,0.6828282828282828,1.0
APIP,4,8,15.265584066740338,15.18351746182924,0.0820666049110983,19.0,0.6828282828282828,1.0
RAB8B,4,8,18.422812390585555,18.229885407453928,0.1929269831316276,19.0,0.6828282828282828,1.0
NUP35,4,8,15.077376427899742,15.2119127405575,-0.13453631265775812,13.0,0.6828282828282828,1.0
NTPCR,4,8,16.006370960874662,16.11530473817752,-0.10893377730285891,13.0,0.6828282828282828,1.0
P4HA1,4,8,14.604935103569765,15.019533773567527,-0.41459866999776196,13.0,0.6828282828282828,1.0
ITPR3,4,8,14.407404429237468,14.272893170515554,0.13451125872191483,19.0,0.6828282828282828,1.0
PDK1,4,8,15.92497118337564,16.17092839436169,-0.2459572109860524,13.0,0.6828282828282828,1.0
OAS2,4,8,15.667227353601865,15.876991543604401,-0.2097641900025362,13.0,0.6828282828282828,1.0
PELP1,4,8,17.113279198897274,17.150861738628628,-0.03758253973135339,13.0,0.6828282828282828,1.0
TRIM21,4,8,16.108186805910798,16.278900757873767,-0.1707139519629699,13.0,0.6828282828282828,1.0
MVK,4,4,12.691918262968581,12.652779008118692,0.03913925484988923,10.0,0.6857142857142857,1.0
BCR,4,4,13.03554081870358,12.824641610921171,0.21089920778240945,10.0,0.6857142857142857,1.0
AFM,4,4,15.12357668107955,14.845146675109607,0.27843000596994294,10.0,0.6857142857142857,1.0
ATP6V1B2,5,9,19.97284516909145,20.058966009293414,-0.0861208402019642,19.0,0.6993006993006993,1.0
OSTF1,5,9,17.99593748526285,18.108281811664064,-0.11234432640121383,19.0,0.6993006993006993,1.0
PSMA4,5,9,20.666312273313153,20.4511468502202,0.2151654230929516,26.0,0.6993006993006993,1.0
ANXA6,5,9,22.790476896674612,22.781881408144603,0.008595488530009021,19.0,0.6993006993006993,1.0
KRT78,5,9,24.42736144394137,24.018442658777175,0.4089187851641931,26.0,0.6993006993006993,1.0
DDOST,5,9,21.40077584189245,21.54606981989843,-0.14529397800598076,19.0,0.6993006993006993,1.0
SERPINC1,5,9,20.50702740608948,20.302005567786818,0.20502183830266318,26.0,0.6993006993006993,1.0
PSMA1,5,9,21.52592876721272,21.290736073921167,0.2351926932915518,26.0,0.6993006993006993,1.0
PSMA2,5,9,20.859242627349524,20.617457032219868,0.24178559512965592,26.0,0.6993006993006993,1.0
RPS6KA3,5,9,15.553188232981231,15.460892191661893,0.09229604131933833,26.0,0.6993006993006993,1.0
RPS3,5,9,22.15517523236584,22.239916859334716,-0.08474162696887788,19.0,0.6993006993006993,1.0
PSMA6,5,9,20.563824265430217,20.471775433118495,0.0920488323117219,26.0,0.6993006993006993,1.0
AZGP1,5,9,22.27941964882708,21.983278780839935,0.2961408679871447,26.0,0.6993006993006993,1.0
RPL26,5,9,19.50753316152332,19.296776490792045,0.2107566707312749,26.0,0.6993006993006993,1.0
HNRNPD,5,9,22.013910218879587,21.958776070702985,0.05513414817660234,26.0,0.6993006993006993,1.0
PRDX2,5,9,21.572960153825704,21.443704503175923,0.12925565064978173,26.0,0.6993006993006993,1.0
GC,5,9,21.266509080756684,21.14447576578827,0.12203331496841585,26.0,0.6993006993006993,1.0
H1-4,5,9,25.11388990691638,24.957633554014095,0.156256352902286,26.0,0.6993006993006993,1.0
HNRNPA0,5,9,19.93474549124117,19.834620916716702,0.1001245745244681,26.0,0.6993006993006993,1.0
DNAJC13,5,9,18.441265170989745,18.47361810713965,-0.03235293614990553,19.0,0.6993006993006993,1.0
HMGB1,5,9,21.409123232502708,21.368364955003816,0.040758277498891715,26.0,0.6993006993006993,1.0
ALDOC,5,9,17.71069264021324,17.986765334839657,-0.2760726946264178,19.0,0.6993006993006993,1.0
EIF4H,5,9,19.747291263542223,19.728410004400587,0.01888125914163652,26.0,0.6993006993006993,1.0
PSMB9,5,9,20.492054408358534,20.433793199987306,0.058261208371227724,26.0,0.6993006993006993,1.0
C11orf68,5,9,15.99260343421545,16.024618543738526,-0.03201510952307629,19.0,0.6993006993006993,1.0
RPL34,5,9,20.10282545394323,20.140378317276483,-0.03755286333325358,19.0,0.6993006993006993,1.0
RPL7A,5,9,21.46954252425985,21.576079849819642,-0.1065373255597919,19.0,0.6993006993006993,1.0
EHD2,5,9,19.710899298527202,19.40767261765268,0.3032266808745234,26.0,0.6993006993006993,1.0
