,feature_type,axis1,axis2,axis3
Fibro_perichondrial,cell_type,0.03500041251923227,0.18892947047111808,-0.061241099727145476
ILC,cell_type,0.07151260751889951,0.09300602983611606,-0.02664044330297201
Ionocyte_n_Brush,cell_type,-0.07412263631009601,0.12969490251641672,0.13280685010032528
MAIT,cell_type,0.06546059674237562,0.07766661531310155,-0.07872809797777199
Macro_CHIT1,cell_type,-0.12128445554117008,0.07116392276902317,-0.04064857387775133
Macro_interstitial,cell_type,0.029106728547109786,0.050704567288027615,-0.09494733953050591
Macro_AW_CX3CR1,cell_type,0.1512638183114236,0.10570897261743382,0.04467847280511812
Macro_alveolar_metallothioneins,cell_type,0.09042031884430433,0.025691716709106922,-0.06961322253080547
Macro_alv,cell_type,-0.16702572468156557,0.0767560198791645,-0.059726347865900045
Macro_dividing,cell_type,-0.07134457973755358,0.060416656565392926,-0.08597395544512548
Macro_int,cell_type,0.08100858429402116,0.061028052520039344,-0.04596629586400439
Macro_CCL,cell_type,0.05708268152544442,0.05808096175991742,-0.08425425139117088
Mast_cell,cell_type,0.04721719466561259,0.12594492015420478,-0.12133545569105882
Megakaryocyte,cell_type,0.01803568461178005,0.1139126764308648,0.1331535780059385
Mesothelia,cell_type,0.15930342370065506,-0.08188359319698141,-0.0022467262227107575
Macrophage_intermediate,cell_type,0.10913097693494417,0.03569716487729447,-0.02930200345564391
Monocyte_CD14,cell_type,0.054598109328994185,0.053980357225393835,-0.1322199464742648
Monocyte_CD16,cell_type,0.10118320455243711,0.05830019373046608,-0.08450284761976336
Muscle_airway,cell_type,-0.16896027958466706,0.12455768473632178,-0.05667071490935642
Muscle_pericyte_airway,cell_type,0.10106019832083238,-0.10658966882217988,-0.029184909991112364
Muscle_pericyte_parenchyma,cell_type,0.09563702368308774,0.04212772693534251,-0.18072665529984241
Muscle_perivascular_immune_recruiting,cell_type,0.1184978921671009,-0.09833326438305455,0.03728810395396417
Muscle_smooth_pulmonary,cell_type,-0.16488668122774064,0.1414780943872955,-0.08230993610901323
Muscle_smooth_syst_arterial,cell_type,-0.20095033856389272,0.1305011782387747,-0.047566680351821294
Myoepithelial,cell_type,0.09988985955645431,-0.06424763954818768,0.13655178541618976
NAF_endoneurial,cell_type,-0.17266257734418655,0.16556430297332292,-0.005473893013234442
NAF_perineurial,cell_type,-0.19694582626099935,0.12941074524005092,-0.03911993354057246
NK_CD16hi,cell_type,0.08981363170297646,0.08984697347751103,-0.03482866122293529
NKT,cell_type,0.08332181027182538,0.06892148130875657,-0.09243403297048843
NK_CD11d,cell_type,0.08444882537293281,0.11101037885346961,0.012207461482169779
NK_CD56bright,cell_type,0.05531725777644666,0.1265842215361837,0.02363345674922508
Neuroendocrine,cell_type,0.05831962221485364,0.1067573767523087,0.20998762453813885
SMG_Basal,cell_type,-0.14222413362623212,0.004620460826056765,0.1382304573706205
SMG_Duct,cell_type,0.17462214009416788,-0.046003361846387064,0.15049615655678916
SMG_Mucous,cell_type,0.04423090884536258,0.032135283747750036,0.06612006111090295
SMG_Serous,cell_type,0.18794307539422864,-0.06758597685755065,0.2033190562323817
Schwann_Myelinating,cell_type,0.09297394117406892,0.12742488713921427,0.13596709127091067
Schwann_nonmyelinating,cell_type,-0.01293326816685442,0.3232713430437781,0.00263480194622365
Secretory_Club,cell_type,0.08188853013693526,0.19328560265497705,0.1448843505695365
Secretory_Goblet,cell_type,-0.003662346894147541,0.230528805321201,0.10384984316452943
Suprabasal,cell_type,-0.1448501584544543,-0.0026768786582482443,0.1399834785609492
T_reg,cell_type,0.050426835078927826,0.10278753750179202,-0.04782147259957185
gdT,cell_type,0.07531987011115407,0.08432231148252972,-0.050590446556188655
A1BG,gene,-0.013827717283849393,0.03353584014957944,-0.03152376961907845
A2M,gene,-0.019577215190519172,0.004676592466524207,-0.008668021511602878
A2ML1,gene,0.003325779137389514,0.0058926755434225335,0.0004392713125393587
AAAS,gene,0.011875005939666726,0.010475110699152494,0.00019354387090866147
AAK1,gene,-0.01333592801476116,-0.0008506656972796426,-0.005684963644598677
AAMDC,gene,0.01604850959255596,-0.007702499053535444,0.010546491710023653
AARS1,gene,0.028872970323632934,-0.02180122935294421,-0.01619034763641343
AARS2,gene,0.00022242744483874383,0.019534801017851166,-0.011452948046142617
