,A,B,R_val,R_z_score,R_p_val
1911,Endothelia_vascular_venous_pulmonary,Muscle_pericyte_airway,0.2821607037621851,76.42878213788285,0.0
651,CD4_EM_Effector,Muscle_pericyte_airway,0.28116611291708776,76.15937762477124,0.0
1366,DC_activated,Muscle_pericyte_airway,0.2810592026774144,76.13041888137658,0.0
3089,NK_CD56bright,Secretory_Club,0.28042758229131104,75.95933206368838,0.0
2836,Monocyte_CD16,Muscle_pericyte_airway,0.28007066568472894,75.86265417338637,0.0
2148,Fibro_immune_recruiting,Muscle_perivascular_immune_recruiting,0.2799583411556121,75.83222886309282,0.0
2155,Fibro_immune_recruiting,NKT,0.279131322416924,75.60821455436607,0.0
2142,Fibro_immune_recruiting,Macrophage_intermediate,0.2787171371582879,75.4960243220802,0.0
286,B_naive,Muscle_pericyte_airway,0.2784300041125835,75.41824868322576,0.0
82,AT2,B_plasma_IgG,0.2782459168368613,75.3683850200617,0.0
1264,DC_1,Secretory_Club,0.27803294558911823,75.31069756437294,0.0
2594,Macro_alv,Secretory_Club,0.2779781354274326,75.29585115291113,0.0
2143,Fibro_immune_recruiting,Monocyte_CD14,0.2776453316861976,75.20570470695186,0.0
2135,Fibro_immune_recruiting,Macro_alv,0.2776452872411937,75.20569266814748,0.0
1986,Erythrocyte,Fibro_immune_recruiting,0.2774816526919187,75.16136902863987,0.0
1425,DC_plasmacytoid,Muscle_pericyte_airway,0.27730374582468387,75.11317945080204,0.0
1645,Endothelia_Lymphatic,Megakaryocyte,0.27711155328962184,75.06112031855956,0.0
1223,DC_1,Fibro_immune_recruiting,0.2760038870920625,74.76108711986826,0.0
991,CD8_TRM_EM,Muscle_pericyte_airway,0.27596903870620065,74.75164774842007,0.0
1444,DC_plasmacytoid,Secretory_Club,0.27588673935281466,74.72935534814548,0.0
429,B_plasma_IgG,Megakaryocyte,0.2758468401805252,74.71854787174733,0.0
2136,Fibro_immune_recruiting,Macro_dividing,0.2751396415037871,74.52698918596319,0.0
1075,CD8_TRM,Secretory_Club,0.27490569447485186,74.46362002694178,0.0
2168,Fibro_immune_recruiting,T_reg,0.2747437360033759,74.41975038610671,0.0
2131,Fibro_immune_recruiting,Macro_CHIT1,0.2747100529817922,74.41062667651836,0.0
2132,Fibro_immune_recruiting,Macro_interstitial,0.2745296811090487,74.36176940340448,0.0
858,CD8_EM,Muscle_pericyte_airway,0.2745065938519547,74.35551576525052,0.0
1652,Endothelia_Lymphatic,Muscle_pericyte_parenchyma,0.2743542635343051,74.31425409945012,0.0
3100,Neuroendocrine,Secretory_Club,0.27423229410252714,74.28121627737022,0.0
699,CD4_TRM,Fibro_immune_recruiting,0.2737792302314203,74.15849500740714,0.0
2154,Fibro_immune_recruiting,NK_CD16hi,0.27369449581519656,74.13554302241846,0.0
903,CD8_EM_EMRA,Fibro_immune_recruiting,0.2732819687408622,74.02380194199908,0.0
404,B_plasma_IgG,Endothelia_vascular_Cap_a,0.27315676356522944,73.98988765498683,0.0
1056,CD8_TRM,Muscle_pericyte_airway,0.2727194674680965,73.87143739705974,0.0
2893,Muscle_pericyte_airway,NK_CD11d,0.27221302113768225,73.73425643693432,0.0
2234,Fibro_peribronchial,Muscle_pericyte_parenchyma,0.2721072846331692,73.70561562281776,0.0
2128,Fibro_immune_recruiting,ILC,0.271670926725476,73.58741949197264,0.0
2134,Fibro_immune_recruiting,Macro_alveolar_metallothioneins,0.27165093194785617,73.58200351277276,0.0
415,B_plasma_IgG,Fibro_peribronchial,0.27143812376963644,73.52436022767512,0.0
2452,Macro_CHIT1,Secretory_Club,0.2714185052737863,73.51904617180124,0.0
2138,Fibro_immune_recruiting,Macro_CCL,0.27137688551916694,73.50777264180212,0.0
436,B_plasma_IgG,Muscle_pericyte_parenchyma,0.2713478586634959,73.49991014642751,0.0
540,Basal,Ciliated,0.2712798933082106,73.48150039176372,0.0
2169,Fibro_immune_recruiting,gdT,0.27114995912525547,73.44630516000773,0.0
2895,Muscle_pericyte_airway,Neuroendocrine,0.2706318643501323,73.30596898928412,0.0
2130,Fibro_immune_recruiting,MAIT,0.2705674237361735,73.28851398020801,0.0
2627,Macro_dividing,Secretory_Club,0.2702963029498027,73.21507557706295,0.0
601,Basal,Suprabasal,0.2702088053310604,73.19137512426681,0.0
1685,Endothelia_vascular_Cap_a,Fibro_peribronchial,0.27008824084858657,73.15871786036827,0.0
408,B_plasma_IgG,Endothelia_vascular_venous_pulmonary,0.26918576111329984,72.91426345494469,0.0
2144,Fibro_immune_recruiting,Monocyte_CD16,0.26908686530234843,72.88747557736723,0.0
629,CD4_EM_Effector,Fibro_immune_recruiting,0.2690089952072693,72.86638292891368,0.0
